impl,work,threads,nkeys,keyspace,ops,rep,seconds,ops_per_sec
coarse,mixed,8,10000,20000,2000000,2,0.59556,3.35818e+06
striped,mixed,8,10000,20000,2000000,0,0.107239,1.865e+07
striped,mixed,8,10000,20000,2000000,1,0.106136,1.88438e+07
striped,mixed,8,10000,20000,2000000,2,0.106755,1.87345e+07
coarse,mixed,16,10000,20000,2000000,0,0.889162,2.24931e+06
coarse,mixed,16,10000,20000,2000000,1,1.0568,1.89251e+06
coarse,mixed,16,10000,20000,2000000,2,1.30137,1.53685e+06
striped,mixed,16,10000,20000,2000000,0,0.122156,1.63726e+07
striped,mixed,16,10000,20000,2000000,1,0.118827,1.68312e+07
striped,mixed,16,10000,20000,2000000,2,0.118602,1.68631e+07
coarse,lookup,1,100000,200000,2000000,0,0.233329,8.5716e+06
coarse,lookup,1,100000,200000,2000000,1,0.227987,8.77245e+06
coarse,lookup,1,100000,200000,2000000,2,0.283856,7.04583e+06
striped,lookup,1,100000,200000,2000000,0,0.245526,8.14579e+06
striped,lookup,1,100000,200000,2000000,1,0.265739,7.52619e+06
striped,lookup,1,100000,200000,2000000,2,0.28472,7.02444e+06
coarse,lookup,2,100000,200000,2000000,0,0.421294,4.74728e+06
coarse,lookup,2,100000,200000,2000000,1,0.46697,4.28293e+06
coarse,lookup,2,100000,200000,2000000,2,0.391061,5.11429e+06
striped,lookup,2,100000,200000,2000000,0,0.155962,1.28236e+07
striped,lookup,2,100000,200000,2000000,1,0.13048,1.5328e+07
striped,lookup,2,100000,200000,2000000,2,0.148993,1.34234e+07
coarse,lookup,4,100000,200000,2000000,0,0.607151,3.29408e+06
coarse,lookup,4,100000,200000,2000000,1,0.505873,3.95356e+06
coarse,lookup,4,100000,200000,2000000,2,0.485678,4.11795e+06
striped,lookup,4,100000,200000,2000000,0,0.0981437,2.03783e+07
striped,lookup,4,100000,200000,2000000,1,0.0957047,2.08976e+07
striped,lookup,4,100000,200000,2000000,2,0.0991121,2.01792e+07
coarse,lookup,8,100000,200000,2000000,0,0.726601,2.75254e+06
coarse,lookup,8,100000,200000,2000000,1,0.760189,2.63092e+06
coarse,lookup,8,100000,200000,2000000,2,0.770207,2.5967e+06
striped,lookup,8,100000,200000,2000000,0,0.0968597,2.06484e+07
